NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_RECEITA,VR_DESPESA_CONTRATADA
4,57,1,2,1,13900.0,13740.0
18,49,1,1,5,1387.04,0.0
8,55,1,1,4,717.56,350.0
16,35,1,0,1,4231.05,3531.0499999999997
4,31,1,2,1,771.43,1710.0
24,42,1,2,4,1027.8,0.0
9,38,1,2,4,10653.36,5885.0
8,56,1,2,1,367.56,0.0
11,48,0,2,4,5121.85,0.0
18,43,0,5,4,1387.04,0.0
13,40,1,5,4,1617.95,0.0
14,43,0,0,1,34.95,0.0
10,52,1,2,5,917.5,0.0
16,41,1,2,1,6173.49,4050.0
4,50,1,2,5,771.43,0.0
9,54,1,2,4,5506.849999999999,0.0
5,35,1,6,3,2791.58,2519.58
8,58,0,1,1,865.06,210.0
15,51,1,1,1,1983.75,0.0
5,57,1,2,1,2791.58,2519.58
25,70,1,5,1,4552.15,600.0
11,39,1,2,5,5271.849999999999,150.0
20,47,1,6,1,2509.52,0.0
4,52,1,2,4,0.0,0.0
13,43,1,0,4,1928.92,0.0
25,49,1,0,1,5172.76,2250.0
19,49,0,5,1,1698.7,700.0
0,51,0,5,1,6679.7,5484.13
12,58,1,2,1,4568.45,2835.0
15,56,1,5,1,19341.62,15292.5
23,43,1,1,5,950.0,0.0
21,62,0,5,1,5121.85,0.0
21,53,1,2,4,5641.849999999999,290.0
25,36,1,2,1,20702.0,8300.0
18,45,1,5,4,13459.44,9971.95
9,63,1,0,1,398.49,0.0
16,62,1,5,1,2816.25,2816.25
